书名,编绘,出版社,出版月份,开本,印数（千册）,页数,定价,年,来源,
元晅告状（东周列国故事）,林林改编、水天宏画,上海人美,,60,,,0.24元,1962,Ref004: 380,
计复成皋（西汉演义连环画之十六）,林林改编、李铁生画,上海人美,,60,,,0.24元,1962,Ref004: 380,
车轮飞转,甘礼乐改编、陈宏仁画,上海人美,,60,,,0.28元,1962,Ref004: 380,
从游击队到主力军,淮子改编、丁茂隆等画,上海人美,,60,,,0.15元,1962,Ref004: 380,
心事,高幼佩改编、郁芷芳画,上海人美,,60,,,0.16元,1962,Ref004: 380,
五姑娘,唐静英改编,上海人美,,60,,,0.26元,1962,Ref004: 380,
五朵金花,万家春改编、宋忠元画,上海人美,,60,,,0.30元,1962,Ref004: 380,
北塔山风云,杨淼改编、徐进画,上海人美,,60,,,0.26元,1962,Ref004: 380,
圣手苏六郎,管安改编、钱笑呆画,上海人美,,60,,,0.18元,1962,Ref004: 380,
申屠娘子,田衣、冯若梅改编、吴志明、刘仲文画,上海人美,,60,,,0.26元,1962,Ref004: 380,
失火谢客,谭先宏等改编、张岳健、徐正平画,上海人美,,48,,,0.24元,1962,Ref004: 380,
孙悟空三打白骨精（线装本）,王星北编文、赵宏本、钱笑呆画,上海人美,,16,,,2.00元,1962,Ref004: 380,
汤姆和疯子,杨兆林改编、殷光宇画,上海人美,,60,,,0.22元,1962,Ref004: 380,
在烈火中永生,胡映西、林林改编、张仁康等画,上海人美,,60,,,0.44元,1962,Ref004: 380,
向北方,杨根相改编、沈悌如画,上海人美,,60,,,0.20元,1962,Ref004: 380,
冰化雪消,林林改编、张怀江画,上海人美,,60,,,0.42元,1962,Ref004: 380,
团圆之后,马洪林、李白英改编、苏星、徐正平画,上海人美,,60,,,0.28元,1962,Ref004: 380,
夷吾争位（东周列国故事）,林林改编、汪玉山画,上海人美,,60,,,0.30元,1962,Ref004: 380,
地下航线,李政民改编、陈云华画,上海人美,,60,,,0.24元,1962,Ref004: 380,
灯芯绒,辛生改编、李明强画,上海人美,,60,,,0.17元,1962,Ref004: 380,
回民支队,宋治平画,上海人美,,60,,,0.36元,1962,Ref004: 380,
回忆广州起义,叶靓改编、刘济荣、谭荫甜画,上海人美,,60,,,0.26元,1962,Ref004: 380,
红日（第1册）,王星北改编、汪观清画,上海人美,,60,,,0.30元,1962,Ref004: 380,
红日（第2册）,王星北改编、汪观清画,上海人美,,60,,,0.26元,1962,Ref004: 380,
红姑,钱志清、吴文焕改编、江栋良画,上海人美,,60,,,0.20元,1962,Ref004: 380,
"同志,你走错了路！",新吾改编、金奎、陶长华画,上海人美,,60,,,0.34元,1962,Ref004: 380,
同心结,范乃仲改编、高燕画,上海人美,,60,,,0.19元,1962,Ref004: 380,
同志之间,凡真改编、郭德训画,上海人美,,60,,,0.18元,1962,Ref004: 380,
李狄三,吉志西改编、王维新画,上海人美,,60,,,0.20元,1962,Ref004: 380,
李郭交兵（三国演义连环画之九）,,上海人美,,60,,,0.26元,1962,Ref004: 380,
两个羊倌,吴其柔、陈曼琼改编、刘汉画,上海人美,,60,,,0.17元,1962,Ref004: 380,
吝啬鬼,李白英改编、胡克文画,上海人美,,60,,,0.28元,1962,Ref004: 380,
但丁街血案（上册）,章程改编、蔡千音画,上海人美,,60,,,0.26元,1962,Ref004: 380,
但丁街血案（上册）,章程改编、蔡千音画,上海人美,,60,,,0.24元,1962,Ref004: 381,
杨门女将,大鲁改编、王亦秋画,上海人美,,60,,,0.26元,1962,Ref004: 381,
甸海春秋,吴其柔改编、张品操画,上海人美,,60,,,0.24元,1962,Ref004: 381,
灵泉洞（第一册）,蔡传业、尚文改编、任伯宏、任伯言画,上海人美,,60,,,0.22元,1962,Ref004: 381,
延安求学记,慕淹改编、戴敦邦画,上海人美,,60,,,0.28元,1962,Ref004: 381,
鱼藏剑（东周列国故事）,纪鲁改编、汤义方画,上海人美,,60,,,0.26元,1962,Ref004: 381,
鱼水情（变天记之二）,可蒙改编、汪绚秋画,上海人美,,60,,,0.32元,1962,Ref004: 381,
英雄列车,陈念云改编、钱贵荪画,上海人美,,60,,,0.17元,1962,Ref004: 381,
英雄的心,忘忧改编、石扬画,上海人美,,60,,,0.18元,1962,Ref004: 381,
闹花灯,陆士达改编、严绍唐、李铁生画,上海人美,,60,,,0.30元,1962,Ref004: 381,
宝玉出走（红楼梦连环画）,潘勤孟改编、王靖洲画,上海人美,,60,,,0.24元,1962,Ref004: 381,
金色的鱼钩,胡映西改编、周诗成、司徒虹画,上海人美,,60,,,0.12元,1962,Ref004: 381,
画蛇添足,钱志清等改编、赵宏本、江栋良画,上海人美,,48,,,0.24元,1962,Ref004: 381,
河静敌未清,王耑改编、陈为明画,上海人美,,60,,,0.28元,1962,Ref004: 381,
"留在远方的""奴隶""",李政民改编、杨培钊画,上海人美,,60,,,0.20元,1962,Ref004: 381,
项梁起义（西汉演义连环画之四）,林林改编、戴仁画,上海人美,,60,,,0.26元,1962,Ref004: 381,
重返陕北,吴文焕改编、费龙翔画,上海人美,,60,,,0.17元,1962,Ref004: 381,
威廉・退尔,大鲁改编、陈俭画,上海人美,,60,,,0.32元,1962,Ref004: 381,
给我一支枪,赵福昌改编、高燕画,上海人美,,60,,,0.18元,1962,Ref004: 381,
枯木逢春,田衣改编、盛亮贤画,上海人美,,60,,,0.30元,1962,Ref004: 381,
战上海,林凯新改编、罗盘画,上海人美,,60,,,0.32元,1962,Ref004: 381,
祖国的鸿雁,若水改编、胡钜湛画,上海人美,,60,,,0.17元,1962,Ref004: 381,
铁道游击队（之二:飞车搞机枪）,董子畏改编、丁斌曾、韩和平画,上海人美,,50,,,0.34元,1962,Ref004: 381,
聂耳,钟志坚改编、姚有信、杨丽娜画,上海人美,,60,,,0.50元,1962,Ref004: 381,
秘密路（上）,曹济权改编、沈铁铮画,上海人美,,60,,,0.32元,1962,Ref004: 381,
晋文图霸（东周列国故事）,林林改编、蔡人燕画,上海人美,,60,,,0.28元,1962,Ref004: 381,
秦琼卖马,严绍唐、李铁生画,上海人美,,60,,,0.30元,1962,Ref004: 381,
耕云记,陆仲坚改编、陶长华画,上海人美,,60,,,0.24元,1962,Ref004: 381,
悲壮的颂歌,李白英改编、周光中画,上海人美,,60,,,0.30元,1962,Ref004: 381,
海鸥（1）,田衣改编、韩伍画,上海人美,,60,,,0.28元,1962,Ref004: 381,
海军少尉巴宁,李大发改编、王重义画,上海人美,,60,,,0.24元,1962,Ref004: 381,
密林星火,辛屏改编、吴志明画,上海人美,,60,,,0.14元,1962,Ref004: 381,
戚继光,史式改编、水天宏画,上海人美,,60,,,0.28元,1962,Ref004: 381,
智退秦师（东周列国故事）,林林、李白英改编、汪玉山画,上海人美,,60,,,0.26元,1962,Ref004: 381,
搜孤救孤（东周列国故事）,林林改编、汤义方画,上海人美,,60,,,0.28元,1962,Ref004: 381,
暗渡陈仓（西汉演义连环画之十）,林林改编、张令涛、胡丁文画,上海人美,,60,,,0.26元,1962,Ref004: 381,
新生,甘礼乐改编、姚耕耘画,上海人美,,60,,,0.14元,1962,Ref004: 381,
暴风雨所诞生的（下）,钟志坚改编、康济画,上海人美,,60,,,0.26元,1962,Ref004: 381,
蟹工船,辛人改编、金立德画,上海人美,,60,,,0.26元,1962,Ref004: 382,
三下虒亭,王五改编、刘沙画,山西人民,,60,,,0.12元,1962,Ref004: 382,
太阳刚刚出山,康德休改编、赵球绘,山西人民,,60,,,0.16元,1962,Ref004: 382,
火烧阳明堡,解义勇改编、傅洪生绘,山西人民,,60,,,0.15元,1962,Ref004: 382,
冬暖,南箴改编、葛锡麟绘,山西人民,,60,,,0.14元,1962,Ref004: 382,
血战驿马岭,解义勇改编、范生福绘,山西人民,,60,,,0.16元,1962,Ref004: 382,
攻打牛驼寨,解义勇改编、李江鸿绘,山西人民,,60,,,0.15元,1962,Ref004: 382,
我跟爸爸当红军,黄影改编、童介眉绘,山西人民,,60,,,0.15元,1962,Ref004: 382,
林海雪原（上集）,韩廷佐改编、肖林绘,山西人民,,60,,,0.25元,1962,Ref004: 382,
首战平型关,解义勇改编、肖林绘,山西人民,,60,,,0.20元,1962,Ref004: 382,
神枪手大闹山门镇,吴普、余美琴改编、张剑维绘,山西人民,,60,,,0.25元,1962,Ref004: 382,
草原脱险,吴孝三改编、马希光绘,山西人民,,60,,,0.10元,1962,Ref004: 382,
锁子的故事,黄影改编、陈云华绘,山西人民,,60,,,0.15元,1962,Ref004: 382,
一粒种子,于风编、黎林绘,河北人民,1月,60,,,0.11元,1962,Ref004: 382,
三进五窑村,张辛国编绘,河北人美,,60,,,0.18元,1962,Ref004: 382,
天国英雄（上）,洪钊改编、池振亚绘,河北人美,,60,,,0.22元,1962,Ref004: 382,
太阳当空照,孟敏改编、肖林绘,河北人美,,60,,,0.17元,1962,Ref004: 382,
天竺国,陈平夫改编、郑家声绘,河北人美,,60,,,0.20元,1962,Ref004: 382,
红旗谱（上）,赵敦改编、张辛国等绘,河北人美,,60,,,0.50元,1962,Ref004: 382,
红旗谱（下）,赵敦改编、张辛国等绘,河北人美,,60,,,0.32元,1962,Ref004: 382,
红羊峪,祁野耘改编、钱笑呆等绘,河北人美,,60,,,0.17元,1962,Ref004: 382,
老共青团员,艾瑛改编、金奎绘,河北人美,,60,,,0.20元,1962,Ref004: 382,
老刚头,辰耳改编、陈惠冠绘,河北人美,,60,,,0.11元,1962,Ref004: 382,
闯三关,康迈千改编、赵隆义绘,河北人美,,60,,,0.10元,1962,Ref004: 382,
回门,黄继业改编、孟养玉绘,河北人美,,60,,,0.13元,1962,Ref004: 382,
可妈,于文青改编、叶坚铭绘,河北人美,,60,,,0.17元,1962,Ref004: 382,
连环洞,陈平夫改编、宗静风等绘,河北人美,,60,,,0.16元,1962,Ref004: 382,
两代人,唐开础改编、邓柯绘,河北人美,,60,,,0.27元,1962,Ref004: 382,
套不住的手,铮广礼改编、肖林绘,河北人美,,60,,,0.10元,1962,Ref004: 382,
佘赛花,祁野耘改编、张锡武绘,河北人美,,60,,,0.19元,1962,Ref004: 382,
矿山风暴,叶放生改编、谷照恩、刘一心绘,河北人美,,60,,,0.15元,1962,Ref004: 382,
矿灯,含贞、惠元改编、刘汉绘,河北人美,,60,,,0.24元,1962,Ref004: 382,
岳云,史式改编、汪玉山绘,河北人美,,60,,,0.24元,1962,Ref004: 382,
战火中的青春,郑沁园改编、吴懋祥绘,河北人美,,50,,,0.22元,1962,Ref004: 382,
活愚公,陈平夫改编、端木勇绘,河北人美,,60,,,0.17元,1962,Ref004: 382,
真假孙悟空,陈平夫改编、宗静风、周静秋绘,河北人美,,60,,,0.18元,1962,Ref004: 382,
紧箍咒,卢光照改编、盛锡珊绘,河北人美,,60,,,0.17元,1962,Ref004: 382,
野火春风斗古城(4),洪钊改编、陈云华、赵隆义绘,河北人美,,60,,,0.16元,1962,Ref004: 382,
野火春风斗古城(5),洪钊改编、陈云华、赵隆义绘,河北人美,,60,,,0.23元,1962,Ref004: 382,
烽火列车,万家春改编、钟志宏绘,河北人美,,60,,,0.22元,1962,Ref004: 382,
朝霞红似火,张诚改编、杜键、高亚光绘,河北人美,,60,,,0.19元,1962,Ref004: 383,
喇嘛庙的秘密,钤广礼改编、尚君砺绘,河北人美,,60,,,0.15元,1962,Ref004: 383,
满江红,张春峰改编、汪玉山绘,河北人美,,60,,,0.17元,1962,Ref004: 383,
碧血丹心,陈平夫改编、严绍唐、李铁生、朱元红等绘,河北人美,,60,,,0.17元,1962,Ref004: 383,
蔡文姬,唐开础改编、胡若佛绘,河北人美,,60,,,0.24元,1962,Ref004: 383,
"藏胞的""女神""",王捷改编、孟英声绘,河北人美,,60,,,0.19元,1962,Ref004: 383,
人民公敌蒋介石,王淑琴等编、李春、曹光、刘旭深、赵敏、徐思绘,辽宁美术,10月,48,,,0.20元,1962,Ref004: 383,
人民公敌蒋介石,王淑琴、郭宝改编、刘馗等绘,辽宁美术,,32,,,0.30元,1962,Ref004: 383,
中华女儿,卫凡改编、红生绘画,辽宁美术,,60,,,0.22元,1962,Ref004: 383,
太阳刚刚出山,张天仁改编、谢京秋绘,辽宁美术,,60,,,0.19元,1962,Ref004: 383,
不灭的光辉,周洪达改编、王秉智绘,辽宁美术,,60,,,0.17元,1962,Ref004: 383,
风暴,钟明改编、杨国藩绘,辽宁美术,,60,,,0.22元,1962,Ref004: 383,
以革命的名义,辽丁改编、方瑶民绘,辽宁美术,,48,,,0.27元,1962,Ref004: 383,
皮匠挂帅,滕箕改编、范志泉绘,辽宁美术,,60,,,0.14元,1962,Ref004: 383,
红色娘子军,宋玉洁改编、李子纯绘,辽宁美术,,60,,,0.30元,1962,Ref004: 383,
孙安动本,杨犀改编、志泉、继声绘,辽宁美术,,60,,,0.21元,1962,Ref004: 383,
达吉和她的父亲,王淑琴、张天仁改编、邢子云绘画,辽宁美术,,60,,,0.31元,1962,Ref004: 383,
合同记,顾默予改编、胡忠元绘,辽宁美术,,60,,,0.17元,1962,Ref004: 383,
我们村里的年轻人,华尔嘉改编、赵明钧绘,辽宁美术,,60,,,0.24元,1962,Ref004: 383,
两代人,田春改编、吴富佳绘,辽宁美术,,60,,,0.31元,1962,Ref004: 383,
克里姆林宫的钟声,吴廷琯改编、胡克文绘,辽宁美术,,60,,,0.22元,1962,Ref004: 383,
狄青风雪夺征衣,裴大元改编、黄子晞、张令涛绘,辽宁美术,,60,,,0.15元,1962,Ref004: 383,
金玉姬,郭宝祥改编、姚鸿发绘,辽宁美术,,60,,,0.26元,1962,Ref004: 383,
空印盒,顾默予改编、水天宏绘画,辽宁美术,,60,,,0.23元,1962,Ref004: 383,
战上海,万家春改编、端木勇绘画,辽宁美术,,60,,,0.28元,1962,Ref004: 383,
活愚公,王金改编、于沙绘,辽宁美术,,60,,,0.16元,1962,Ref004: 383,
革命军事委员会,葵林改编、方瑶民绘,辽宁美术,,60,,,0.23元,1962,Ref004: 383,
海上神鹰,刘铮改编、柳根林绘画,辽宁美术,,60,,,0.27元,1962,Ref004: 383,
临潼斗宝,杨犀改编、朱光玉绘,辽宁美术,,60,,,0.19元,1962,Ref004: 383,
黄巾起义,匡荣编文、盛焕文、盛鹤年绘,辽宁美术,9月,60,,,0.20元,1962,Ref004: 383,
惠嫂,葛锡麟编绘,辽宁美术,,60,,,0.15元,1962,Ref004: 383,
智取华山,宋文光改编、胡克礼绘,辽宁美术,,60,,,0.22元,1962,Ref004: 383,
粮食,水工改编、徐甲英绘画,辽宁美术,,60,,,0.16元,1962,Ref004: 383,
红心向太阳,李园改编、章桂征画,吉林人民,,60,,,0.17元,1962,Ref004: 383,
寻宝记,杨国生改编、吴龙才、马腾骧画,吉林人民,,60,,,0.14元,1962,Ref004: 383,
夜半烈火,章非改编、傅洪声画,吉林人民,,60,,,0.18元,1962,Ref004: 383,
金笔的故事,范生福画,吉林人民,,60,,,0.16元,1962,Ref004: 383,
一面坡（朝鲜文本）,王峰改编、张彬绘、本社译,延边人民,,56,,,0.14元,1962,Ref004: 383,
红仙女（朝鲜文本）,庄永兴改编、叶大荣绘、本社译,延边人民,,56,,,0.26元,1962,Ref004: 383,
林海雪原（电影连环画册）（朝鲜文本）,王金铎、陈彻改编、本社译,延边人民,,56,,,0.28元,1962,Ref004: 384,
一把匕首,佟彩云编、傅洪生绘,黑龙江美术,,60,,,0.17元,1962,Ref004: 384,
民兵英雄李桂英,冯科编、洪锋绘,黑龙江美术,,60,,,0.14元,1962,Ref004: 384,
战斗的伙伴,胡家辉改编、廉浦画,黑龙江美术,,60,,,0.15元,1962,Ref004: 384,
两代人,修明、高铁林改编、王秀成绘,黑龙江美术,,60,,,0.22元,1962,Ref004: 384,
草原骑踪（下）,陶同改编、王纯信绘,黑龙江美术,,60,,,0.17元,1962,Ref004: 384,
桃花公主,林野改编、丁世弼绘,黑龙江美术,,60,,,0.20元,1962,Ref004: 384,
埃苏拜尔的枪声,邹向前改编、史国才绘,黑龙江美术,,60,,,0.15元,1962,Ref004: 384,
七号公路的秘密,胡雁改编、蔡雄绘,江苏人民,,60,,,0.24元,1962,Ref004: 384,
大闹天宫,丁正华改编、乐小英、戴敦邦绘,江苏人民,,60,,,0.18元,1962,Ref004: 384,
文成公主,丁正华改编、盛焕文、盛鹤年绘,江苏人民,,60,,,0.14元,1962,Ref004: 384,
无敌列车,凡夫改编、胡祖清绘,江苏人民,,60,,,0.12元,1962,Ref004: 384,
双喜临门,王立信等改编、范生福绘画,江苏人民,,60,,,0.16元,1962,Ref004: 384,
红色街垒,陆士达改编、戴敦邦绘,江苏人民,,60,,,0.20元,1962,Ref004: 384,
红色保育员,张棣华改编、朱宗之绘,江苏人民,,60,,,0.12元,1962,Ref004: 384,
杨门女将,李信改编、施琦平绘,江苏人民,,60,,,0.23元,1962,Ref004: 384,
宝船,李尊一改编、孙吉昌绘,江苏人民,,60,,,0.16元,1962,Ref004: 384,
郑和,丁孟改编、何仲达绘,江苏人民,,60,,,0.20元,1962,Ref004: 384,
革命者长青,水曲辰改编、苏子绘,江苏人民,,60,,,0.21元,1962,Ref004: 384,
迷童之家,谭慕平改编、诸如樵绘,江苏人民,,60,,,0.08元,1962,Ref004: 384,
洛神,高峦改编、盛焕文、盛鹤年绘,江苏人民,,60,,,0.18元,1962,Ref004: 384,
剥去美军的画皮,张棣华编、孙铁生绘,江苏人民,,60,,,0.14元,1962,Ref004: 384,
夏完淳,李白英改编、盛焕文、盛鹤年绘,江苏人民,,60,,,0.28元,1962,Ref004: 384,
海底战斗,马曙改编、蔡千音绘画,江苏人民,,60,,,0.20元,1962,Ref004: 384,
野火春风斗古城（上）,章田改编、顾乃深等绘画,江苏人民,,60,,,0.42元,1962,Ref004: 384,
惠嫂,黄若谷改编、何铭绘,江苏人民,,60,,,0.18元,1962,Ref004: 384,
碧血扬州,雪松改编、盛焕文、盛鹤年绘,江苏人民,,60,,,0.16元,1962,Ref004: 384,
慕王在苏州,王企玫编绘,江苏人民,,60,,,0.20元,1962,Ref004: 384,
蔡文姬,合肥市京剧团创作组改编、江瑞安摄影,江苏人民,,60,,,0.18元,1962,Ref004: 384,
"三打""高刘集""",沈明改编、高适、李立勋绘画,安徽人民,,60,,,0.12元,1962,Ref004: 384,
计取袁家城子,李虹宇编、孙铁生绘,山东人民,,60,,,0.13元,1962,Ref004: 384,
民兵英雄郝怀友,瑚玉编、董振江等绘,山东人民,,60,,,0.17元,1962,Ref004: 384,
侦察兵,李声远编、杨文仁绘,山东人民,,60,,,0.15元,1962,Ref004: 384,
罗衫记,贾守吾等编、朱学达绘,山东人民,,60,,,0.15元,1962,Ref004: 384,
墙头记,徐直编、施邦华绘,山东人民,,60,,,0.18元,1962,Ref004: 384,
不灭的光辉,南箴改编、陈海生绘,江西人民,,60,,,0.25元,1962,Ref004: 384,
陈公豹,苏敦勇改编、虞富春绘,江西人民,,60,,,0.23元,1962,Ref004: 384,
调虎离山（林海雪原：下册）,曹丽泉改编、傅志旺绘,江西人民,,60,,,0.28元,1962,Ref004: 384,
排工怒火,毛秉权、丁世弼编画,江西人民,,60,,,0.15元,1962,Ref004: 385,
智杀土豪,诗陶改编、史正学画,江西人民,,60,,,0.17元,1962,Ref004: 385,
八女跨海征荒岛,珊人、黄野编、丁仃等绘,福建人民,,60,,,0.19元,1962,Ref004: 385,
水兵与祖国,叶海编文、茅志云、徐辅之绘,福建人民,,60,,,0.19元,1962,Ref004: 385,
木兰陂,华仁改编、宗静草、宗静秋绘,福建人民,,60,,,0.12元,1962,Ref004: 385,
五虎岛,盛森编、宗静风、周静秋绘,福建人民,,60,,,0.13元,1962,Ref004: 385,
中秋之夜,王晟明编、吕连生绘,福建人民,,60,,,0.21元,1962,Ref004: 385,
沙滩上,朱羽改编、张清岩绘,福建人民,,60,,,0.22元,1962,Ref004: 385,
郑成功收复台湾,鲁闽编、陈光镒、王亦秋绘,福建人民,,60,,,0.24元,1962,Ref004: 385,
前哨,谷水、朱羽编、姚峭丽绘,福建人民,,60,,,0.28元,1962,Ref004: 385,
前沿虎将,风村编、张清岩绘,福建人民,,60,,,0.18元,1962,Ref004: 385,
高文举,知希改编、陈丹旭绘,福建人民,,60,,,0.19元,1962,Ref004: 385,
一颗子弹的故事,罗迅青、李一南改编、聂南溪、贺安诚绘,湖南人民,,60,,,0.11元,1962,Ref004: 385,
无手英雄谭长桥,美艺编文、刘玮武绘,湖南人民,,60,,,0.17元,1962,Ref004: 385,
红军桥,叶建森编、杨敦仪绘,湖南人民,,60,,,0.12元,1962,Ref004: 385,
刘孝安,郑一呼、牧鸥绘,湖南人民,,60,,,0.14元,1962,Ref004: 385,
坚守水楼,叶建森编、吴光华绘,湖南人民,,60,,,0.09元,1962,Ref004: 385,
锦鸡,唐庚改编、陈白一绘,湖南人民,,50,,,0.26元,1962,Ref004: 385,
秦香莲,余文祥改编、邵声郎、龚建新绘,群益堂,,60,,,0.26元,1962,Ref004: 385,
一袋干粮,晓白、陈贻福编绘,湖北人民,,60,,,0.17元,1962,Ref004: 385,
大卖国贼蒋介石,陈贻福等绘,湖北人民,,20,,,,1962,Ref004: 385,
红安夏大妈,肖仁编、蔡培、舒华绘,湖北人民,,60,,,0.20元,1962,Ref004: 385,
南泥湾屯垦,梁培浩、蔡宏坡编绘,湖北人民,,60,,,0.16元,1962,Ref004: 385,
粮食的故事,祝小白、陈贻福改编、陈绪初等绘,湖北人民,,60,,,0.18元,1962,Ref004: 385,
老虎学艺,何玉门编绘,河南人民,,48,,,0.14元,1962,Ref004: 385,
红鹰展翅,徐思敬改编、傅凌云绘,河南人民,,60,,,0.09元,1962,Ref004: 385,
李寄,赵运生改编、娄世棠绘,河南人民,,60,,,0.09元,1962,Ref004: 385,
柳枝接骨的故事,子野改编、张琳绘,河南人民,,60,,,0.11元,1962,Ref004: 385,
深厚友谊,晓天改编、章耀达绘,河南人民,,60,,,0.10元,1962,Ref004: 385,
朝阳沟,柳杨改编、张凭绘,河南人民,,60,,,0.15元,1962,Ref004: 385,
智擒八虎,荣一得改编、区本泉绘,广东人民,,56,,,0.17元,1962,Ref004: 385,
洪宣娇坚守金鸡岭,林夏编、洪斯文绘,岭南美术,,40,,,0.20元,1962,Ref004: 385,
林中生活三十六昼夜（汉僮文对照本）,周杏仁翻译、改编、张志祥绘,广西民族,,60,,,0.10元,1962,Ref004: 385,
活愚公,周珍元改编、刘世江绘,贵州人民,,48,,,0.13元,1962,Ref004: 385,
夫妻桥,庄努改编、周璘等画,四川人民,,60,,,0.16元,1962,Ref004: 385,
西山义旗,林如稷编、张文忠画,四川人民,,60,,,0.17元,1962,Ref004: 385,
送菜籽,柏鸿鹄改编、贺惠贤、者力绘,云南人民,,48,,,0.15元,1962,Ref004: 385,
徐学惠,罗继光编文、仲修绘图、艾鹏译（本书有西双版纳傣文、德宏傣文、佧瓦文、傈僳文、景颇文等版本）,云南人民,,60,,,0.09元,1962,Ref004: 385,
葫芦信,王今栋绘,云南人民,,50,,,0.14元,1962,Ref004: 385,
女仆玛莎,刘振馨编、蔡千音、孙耀盛绘,长安美术,,60,,,0.18元,1962,Ref004: 385,
四进士,高济立等改编、侯佳绘图,长安美术,,60,,,0.18元,1962,Ref004: 385,
报晓鸡,刘立三改编、尚德周等绘图,长安美术,,60,,,0.12元,1962,Ref004: 385,
狠透铁,党永庵、宋怀林编、宋怀林、孙耀盛绘,长安美术,,60,,,0.20元,1962,Ref004: 386,
老书记赶车,晏乙编文、孟英声画,甘肃人民,,56,,,0.20元,1962,Ref004: 386,
枫洛池,闻韬改编、何溯绘,甘肃人民,,56,,,0.32元,1962,Ref004: 386,
火种,杨步升编绘,宁夏人民,,60,,,0.15元,1962,Ref004: 386,
小巴郎吓叶尔（维吾尔新旧文字对照）,章台柳改编、薛周琦绘,新疆人民,,64,,,0.11元,1962,Ref004: 386,
女技术员（维汉文对照）,季麦林编、俊一画,新疆人民,,64,,,0.12元,1962,Ref004: 386,
生活在闪光（维汉文对照）,龚建新编绘,新疆人民,,50,,,0.15元,1962,Ref004: 386,
两个元老（维汉文对照）,余惠轩改编、薛俊一画,新疆人民,,60,,,0.13元,1962,Ref004: 386,
李弄琴（维汉文对照）,生芬编、牧歌画,新疆人民,,60,,,0.11元,1962,Ref004: 386,
库尔班・吐鲁木见到了毛主席（维汉文对照）,彰大刚改编、张乃光绘,新疆人民,,64,,,0.08元,1962,Ref004: 386,
郑成功收复台湾（维吾尔文本）,鲁闽编、陈光镒、王亦秋绘,新疆人民,,48,,,0.29元,1962,Ref004: 386,
大红脸,大苗配诗、郭庭荣绘,人美,,60,,,0.06元,1962,Ref004: 386,
小小连环画集（第1集）,,人美,,48,,,0.75元,1962,Ref004: 386,
马神医选徒弟,朱丹改编、张岳健绘,人美,,48,,,0.06元,1962,Ref004: 386,
西瓜滚下山,徐竞辞绘、大苗配诗,人美,,48,,,0.06元,1962,Ref004: 386,
好姑姑,邵国寰绘,人美,,48,,,0.06元,1962,Ref004: 386,
我知道,大苗诗、窦宗淦绘,人美,,48,,,0.06元,1962,Ref004: 386,
苏丽亚的梦,吴兆修改编、董洪元绘,人美,,48,,,0.18元,1962,Ref004: 386,
宝葫芦的秘密,吴兆修改编、张鸾绘,人美,,48,,,0.34元,1962,Ref004: 386,
胖嫂回娘家,苑青配诗、张路绘,人美,,48,,,0.06元,1962,Ref004: 386,
愚公移山,卢光照、小流改编、张岳健、墨浪绘,人美,,48,,,0.06元,1962,Ref004: 386,
渔岛之子,刘鉴、星索改编、钱贵荪绘,人美,,48,,,0.35元,1962,Ref004: 386,
三只蝴蝶,大苗改编、徐竞辞绘,朝花,,48,,,0.12元,1962,Ref004: 386,
"""天堂""外边的事情",子聪改编、经慰绘,朝花,,48,,,0.21元,1962,Ref004: 386,
篮球生气啦,肖里编绘,朝花,,48,,,0.11元,1962,Ref004: 386,
小手绢,音匀编、孙惠绘,中国少儿,,32,,,0.20元,1962,Ref004: 386,
枣,中国少儿出版社编、杨永青绘,中国少儿,,40,,,0.13元,1962,Ref004: 386,
快乐的一天,田素芝编、张鸾绘,中国少儿,,32,,,0.20元,1962,Ref004: 386,
人参娃娃（电影连环画册）,陈澈改编,中国电影,,40,,,0.24元,1962,Ref004: 386,
小燕子（电影连环画册）,陈澈改编、万庆描绘,中国电影,,40,,,0.20元,1962,Ref004: 386,
花儿朵朵（电影连环画册）,孙青改编,中国电影,,64,,,0.24元,1962,Ref004: 386,
英雄小八路（电影连环画册）,陈澈改编,中国电影,,64,,,0.36元,1962,Ref004: 387,
谁的本领大（电影连环画册）,文飘改编、万庆、刘惠琴描绘,中国电影,,40,,,0.28元,1962,Ref004: 387,
萝卜回来了 （电影连环画册）,青予改编,中国电影,,28,,,0.40元,1962,Ref004: 387,
新队员（电影连环画册）,文飘改编,中国电影,,64,,,0.24元,1962,Ref004: 387,
铁蹄下的童年,林可改编、费声福绘,北京,,60,,,0.12元,1962,Ref004: 387,
巧救王叔叔,田志仁改编、刘端、阮恩泽绘,天津少儿,,60,,,0.16元,1962,Ref004: 387,
矿灯,张青予改编、戴敦邦绘,天津少儿,,60,,,0.30元,1962,Ref004: 387,
泥鳅看瓜,青予改编、刘端绘,天津少儿,,60,,,0.15元,1962,Ref004: 387,
洋葱头历险记,小平改编、陈永镇绘,天津少儿,,60,,,0.32元,1962,Ref004: 387,
小蚂蚁历险记,路展编文、陆青画,上海人美,,60,,,0.26元,1962,Ref004: 387,
小无知奇游记,杨英镖画,上海人美,,60,,,0.44元,1962,Ref004: 387,
小人国,万籁鸣画,上海人美,,60,,,0.42元,1962,Ref004: 387,
怕羞的黄莺,钱志清改编、江爱群画,上海人美,,60,,,0.18元,1962,Ref004: 387,
狐狸和刺猬,方日威改编、何玉门、尹口羊画,上海人美,,60,,,0.14元,1962,Ref004: 387,
